MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.8042148198504419	True	0.0052063251415085509	MYOD1loss	HLA-Aloss	0.01495581237253569	155	1338	[1338, 155]	0	22	1471	5.5	1183	MutuallyExclusive	frozenset(['MYOD1loss', 'HLA-Aloss'])
0.5142857142857142	True	0.0003568415379897388	MLL3loss	TFRCloss	0.013756613756613757	722	236	[236, 722]	0	13	945	6.4	486	MutuallyExclusive	frozenset(['MLL3loss', 'TFRCloss'])
0.2463474025974026	True	0.0016221392776846228	CYLDloss	NOTCH2loss	0.1010551948051948	1053	1660	[1660, 1053]	0	249	2464	6.2	607	MutuallyExclusive	frozenset(['CYLDloss', 'NOTCH2loss'])
0.7731681034482759	True	0.013235291983867997	NF2loss	MLL3loss	0.02747844827586207	236	1671	[1671, 236]	0	51	1856	5.1	1435	MutuallyExclusive	frozenset(['NF2loss', 'MLL3loss'])
0.24185861795075456	True	0.036472625762996869	RPL22loss	BRAFloss	0.11318506751389992	1097	1706	[1706, 1097]	0	285	2518	4.8	609	MutuallyExclusive	frozenset(['RPL22loss', 'BRAFloss'])
0.6873684210526316	True	0.021191158296370201	NFE2L2loss	HLA-Aloss	0.01368421052631579	155	808	[808, 155]	0	13	950	4.7	653	MutuallyExclusive	frozenset(['NFE2L2loss', 'HLA-Aloss'])
0.6285714285714286	True	0.044603222657338494	MLL3loss	CLP1loss	0.025210084033613446	984	236	[236, 984]	0	30	1190	4.4	748	MutuallyExclusive	frozenset(['MLL3loss', 'CLP1loss'])
0.5228215767634855	True	8.8960809381594613e-05	RPN1loss	MLL3loss	0.012448132780082987	236	740	[740, 236]	0	12	964	7.0	504	MutuallyExclusive	frozenset(['RPN1loss', 'MLL3loss'])
0.6253164556962025	True	0.023017301014059601	MLL3loss	SDHAF2loss	0.02362869198312236	977	236	[236, 977]	0	28	1185	4.7	741	MutuallyExclusive	frozenset(['MLL3loss', 'SDHAF2loss'])
0.47678369195922987	True	0.00011490542849436966	MLL3loss	FOXL2loss	0.011325028312570781	657	236	[236, 657]	0	10	883	6.9	421	MutuallyExclusive	frozenset(['MLL3loss', 'FOXL2loss'])
0.4647058823529412	True	0.032284102405184048	MLL3loss	MLF1loss	0.02	631	236	[236, 631]	0	17	850	4.4	395	MutuallyExclusive	frozenset(['MLL3loss', 'MLF1loss'])
0.576303317535545	True	0.043314838569101545	MLL3loss	CDKN1Bloss	0.023696682464454975	844	236	[236, 844]	0	25	1055	4.4	608	MutuallyExclusive	frozenset(['MLL3loss', 'CDKN1Bloss'])
0.5110876451953538	True	5.8724981905294461e-06	CNBPloss	MLL3loss	0.009503695881731784	236	720	[720, 236]	0	9	947	8.2	484	MutuallyExclusive	frozenset(['CNBPloss', 'MLL3loss'])
0.6777286135693216	True	0.030928516886357636	MLL3loss	CD79Aloss	0.025811209439528023	1155	236	[236, 1155]	0	35	1356	4.6	919	MutuallyExclusive	frozenset(['MLL3loss', 'CD79Aloss'])
0.806272129489125	True	0.013402948127240372	MLL2loss	CHEK2loss	0.025796661608497723	1811	217	[217, 1811]	0	51	1977	5.2	1594	MutuallyExclusive	frozenset(['MLL2loss', 'CHEK2loss'])
0.7910772578890098	True	0.04473247008555932	MLL2loss	NF2loss	0.02720348204570185	1671	217	[217, 1671]	0	50	1838	4.6	1454	MutuallyExclusive	frozenset(['MLL2loss', 'NF2loss'])
