Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
MLL2loss	SDHAF2loss	NA	NA	0.03020216918021249	1	0.03020216918021249
MLL2loss	SRSF2loss	NA	NA	0.04991837161473413	1	0.04991837161473413
C15orf65loss	MYST4loss	4.41459413872	0.0120994638325	NA	1	0.0120994638325
FUSloss	CEP110loss	4.50472510762	0.0110566291523	NA	1	0.0110566291523
MYST4loss	TNFRSF14loss	3.36229726301	0.0346555545055	NA	1	0.0346555545055
MLL3loss	PRF1loss	NA	NA	0.030703870856938615	1	0.030703870856938615
MLL2loss	TFPTloss	3.60985757506	0.0270556999984	0.016404016429657293	2	0.016404016429657293
SDHAF2loss	MYST4loss	3.43423308458	0.0322501338753	NA	1	0.0322501338753
MLL2loss	CEBPAloss	NA	NA	0.030626382948719815	1	0.030626382948719815
CEP110loss	KMT2Aloss	6.47983657777	0.00153406135858	NA	1	0.00153406135858
CBFBloss	HLA-Aloss	3.26477601233	0.0382054916845	0.02301105862946714	2	0.02301105862946714
MLL3loss	AKT2loss	NA	NA	0.04237673591822389	1	0.04237673591822389
CEP110loss	ZNF331loss	3.58983379504	0.0276029177838	NA	1	0.0276029177838
HLA-Aloss	LHFPloss	NA	NA	0.04377090611649054	1	0.04377090611649054
BCL9loss	MAFloss	6.473667734	0.0015435539926	0.0008805502281897959	2	0.0008805502281897959
LMO1loss	HLA-Aloss	3.01965863016	0.0488178804697	0.029444332777314022	2	0.029444332777314022
CYTSBloss	MLLT10loss	3.19375129115	0.0410177125912	NA	1	0.0410177125912
MLL2loss	CDK4loss	7.14089447396	0.000792043317398	0.0005828247278626417	2	0.0005828247278626417
CEP110loss	MALAT1loss	4.49078184138	0.0112118744745	NA	1	0.0112118744745
CLP1loss	HLA-Aloss	5.94537051952	0.00261793217367	0.001817358689310595	2	0.001817358689310595
RPL22loss	HLA-Aloss	4.91053976783	0.00736850997317	0.004663554614390478	2	0.004663554614390478
BMPR1Aloss	CYTSBloss	3.10232718606	0.0449444864119	NA	1	0.0449444864119
MLL3loss	SRGAP3loss	NA	NA	0.044492465380481946	1	0.044492465380481946
RUNDC2Aloss	ARHGEF12loss	3.00364041218	0.049606152422	NA	1	0.049606152422
MYOD1loss	HLA-Aloss	4.82077513054	0.0080605367488	0.005206325141508551	2	0.005206325141508551
CEP110loss	HSP90AB1loss	3.06427742758	0.0466875648259	NA	1	0.0466875648259
ABI1loss	CYTSBloss	4.45681141285	0.0115992897307	NA	1	0.0115992897307
MLL3loss	MLF1loss	NA	NA	0.03228410240518405	1	0.03228410240518405
MLL3loss	CD79Aloss	NA	NA	0.030928516886357636	1	0.030928516886357636
CD274loss	MYST4loss	4.43946149789	0.0118022923682	NA	1	0.0118022923682
CBLCloss	MLL3loss	3.60271419852	0.0272496609944	0.016405123275704286	2	0.016405123275704286
FOXA1loss	MYST4loss	3.15038596475	0.0428355906478	NA	1	0.0428355906478
CYTSBloss	SSX4loss	3.30457597938	0.0367147763585	NA	1	0.0367147763585
KMT2Dloss	MLLloss	6.06934818259	0.00231268016461	NA	1	0.00231268016461
KMT2Dloss	MYST4loss	4.93976038068	0.00715631295776	NA	1	0.00715631295776
MLL3loss	CBLloss	3.16842396415	0.042069849273	0.024396054894133302	2	0.024396054894133302
MLL3loss	BCL3loss	4.97905385084	0.00688056952382	0.004303214458433733	2	0.004303214458433733
MLL3loss	KLK2loss	4.90604300445	0.00740171902966	0.0046021045212785855	2	0.0046021045212785855
TAF15loss	CYTSBloss	5.03460334128	0.00650877936889	NA	1	0.00650877936889
MLL3loss	NUTM2Aloss	3.79088666871	0.0225755759175	0.013296334303262328	2	0.013296334303262328
TTLloss	HLA-Aloss	5.93793494144	0.00263747056235	0.001984623969877518	2	0.001984623969877518
CDKN1Bloss	MYST4loss	6.18567449611	0.00205871249066	NA	1	0.00205871249066
EP300loss	CYTSBloss	3.33231088402	0.0357104868505	NA	1	0.0357104868505
MLL2loss	KMT2Dloss	15.0734434909	2.84240964803e-07	2.2512135845050654e-07	2	2.2512135845050654e-07
CEP110loss	RARAloss	3.78868216357	0.0226253987878	NA	1	0.0226253987878
MLL2loss	TFRCloss	3.52790717029	0.0293663102873	0.018617536500431138	2	0.018617536500431138
PIK3CAloss	MLLT10loss	NA	NA	0.04535876062386805	1	0.04535876062386805
CYTSBloss	KIF5Bloss	4.42480212685	0.0119765809101	NA	1	0.0119765809101
MLL2loss	ZNF331loss	3.44119723045	0.0320263194813	0.01925651769212577	2	0.01925651769212577
HERPUD1loss	NOTCH2loss	8.71146861358	0.000164686216373	9.455907295137923e-05	2	9.455907295137923e-05
EWSR1loss	CYTSBloss	3.86782291675	0.0209038292989	NA	1	0.0209038292989
BCL9loss	CBFA2T3loss	5.06187689101	0.00633366075915	0.003548892041431751	2	0.003548892041431751
MLL2loss	DDIT3loss	6.07417831012	0.00230153655868	0.0016236394953028314	2	0.0016236394953028314
RUNDC2Aloss	MYCLloss	3.33642071432	0.0355640239845	NA	1	0.0355640239845
CEP110loss	TFPTloss	3.37226166521	0.0343119473846	NA	1	0.0343119473846
CD79Aloss	MYST4loss	3.18450850829	0.0413985878641	NA	1	0.0413985878641
KLK2loss	MLLloss	7.62736286396	0.000486943302341	NA	1	0.000486943302341
CEP110loss	SDHAF2loss	3.71737694597	0.0242976182956	NA	1	0.0242976182956
MSI2loss	MYST4loss	3.47882279344	0.0308436990741	NA	1	0.0308436990741
MYST4loss	KMT2Aloss	7.17928256907	0.000762214482284	NA	1	0.000762214482284
SMARCB1loss	HLA-Aloss	NA	NA	0.04868527124192231	1	0.04868527124192231
HLA-Aloss	LCP1loss	3.46316798845	0.0313303504459	0.01869236511196173	2	0.01869236511196173
VTI1Aloss	CYTSBloss	4.34403383054	0.0129840469791	NA	1	0.0129840469791
MLL3loss	CCNE1loss	3.08933206655	0.0455323568341	0.027622382873387558	2	0.027622382873387558
KRASloss	IDH1loss	NA	NA	0.03410985202631371	1	0.03410985202631371
FANCGloss	MYST4loss	4.51400720071	0.0109544753253	NA	1	0.0109544753253
HLA-Aloss	FOXO1loss	NA	NA	0.035078906968262644	1	0.035078906968262644
MLL2loss	CEP89loss	NA	NA	0.0378443387724594	1	0.0378443387724594
MLL3loss	PPP2R1Aloss	3.42970238194	0.032396581146	0.019290361019167764	2	0.019290361019167764
FASloss	CYTSBloss	3.29900329234	0.0369199474631	NA	1	0.0369199474631
